storerkey,sku,descr,packkey,Index,Paleta,obal
18833V  X4,4538302 03,P21 PPL MAI2020,C11_24,1005240,C11,
18833V  X4,4538306 03,P21 PPL MAI2020,C11_24,1005241,C11,
18833V  X4,4539228 01,P21 PPL MAI2020,C11_24,1005242,C11,
18833V  X4,4538321 03,P21 PPL MAI2020,C11_24,1005243,C11,
18833V  X4,4538333 03,P21 PPL MAI2020,C11_24,1005244,C11,
18833V  X4,4538304 01,P21 PPL MAI2020,C11_24,1005250,C11,
18833V  X4,4538306 01,P21 PPL MAI2020,C11_24,1005251,C11,
18833V  X4,4538307 01,P21 PPL MAI2020,C11_24,1005252,C11,
18833V  X4,4538310 01,P21 PPL MAI2020,C11_24,1005253,C11,
18833V  X4,4538321 01,P21 PPL MAI2020,C11_24,1005254,C11,
18833V  X4,4538307 03,P21 PPL MAI2020,C11_24,1005270,C11,
18833V  X4,4539226 01,P21 PPL MAI2020,C11_24,1005271,C11,
18833V  X4,4539169 02,P21 PPL MAI2020,C11_24,1005272,C11,
18833V  X4,4538303 01,P21 PPL MAI2020,C11_24,1005308,C11,
18833V  X4,4538157 02,P21 PPL MAI2020,C11_24,1005309,C11,
18833V  X4,4538314 01,P21 PPL MAI2020,C11_24,1005310,C11,
18833V  X4,4538333 01,P21 PPL MAI2020,C11_24,1005311,C11,
18833V  X4,4538335 01,P21 PPL MAI2020,C11_24,1005312,C11,
18833V  X4,4538337 01,P21 PPL MAI2020,C11_24,1005313,C11,
18833V  X4,4538192 02,P21 PPL MAI2020,C11_24,1005314,C11,
18833V  X4,4538309 01,P21 PPL MAI2020,C11_24,1005350,C11,
18833V  X4,4538153 02,P21 PPL MAI2020,C11_24,1005351,C11,
18833V  X4,4538155 02,P21 PPL MAI2020,C11_24,1005352,C11,
18833V  X4,4538312 01,P21 PPL MAI2020,C11_24,1005353,C11,
18833V  X4,4538313 01,P21 PPL MAI2020,C11_24,1005354,C11,
18833V  X4,4538338 01,P21 PPL MAI2020,C11_24,1005355,C11,
18833V  X4,4538339 01,P21 PPL MAI2020,C11_24,1005356,C11,
18833V  X4,4538345 01,P21 PPL MAI2020,C11_24,1005368,C11,
18833V  X4,4538143 02,P21 PPL MAI2020,C11_24,1005379,C11,
18833V  X4,4538317 01,P21 PPL MAI2020,C11_24,1005380,C11,
18833V  X4,4538320 01,P21 PPL MAI2020,C11_24,1005381,C11,
18833V  X4,4538325 01,P21 PPL MAI2020,C11_24,1005382,C11,
18833V  X4,4538326 01,P21 PPL MAI2020,C11_24,1005383,C11,
18833V  X4,4538327 01,P21 PPL MAI2020,C11_24,1005384,C11,
18833V  X4,4538331 01,P21 PPL MAI2020,C11_24,1005385,C11,
18833V  X4,4538341 01,P21 PPL MAI2020,C11_24,1005386,C11,
18833V  X4,4538342 01,P21 PPL MAI2020,C11_24,1005387,C11,
18833V  X4,4538159 02,P21 PPL MAI2020,C11_24,1005406,C11,
18833V  X4,4538316 01,P21 PPL MAI2020,C11_24,1005407,C11,
18833V  X4,4538318 01,P21 PPL MAI2020,C11_24,1005408,C11,
18833V  X4,4538330 01,P21 PPL MAI2020,C11_24,1005409,C11,
18833V  X4,4539223 01,P21 PPL MAI2020,C11_24,1005446,C11,
18833V  X4,4539222 01,P21 PPL MAI2020,C11_24,1005452,C11,
18833V  X4,4538310 03,P21 PPL MAI2020,C11_24,1005453,C11,
18833V  X4,4538301 03,P21 PPL MAI2020,C11_24,1005482,C11,
18833V  X4,4539221 01,P21 PPL MAI2020,C11_24,1005483,C11,
18833V  X4,4538304 03,P21 PPL MAI2020,C11_24,1005484,C11,
